id,name,created_at,updated_at,parent_id
334,レッグウェア,2019-12-3 12:00:00,2019-12-4 12:00:00,199
335,ソックス,2019-12-3 12:00:00,2019-12-4 12:00:00,334
336,レギンス/スパッツ,2019-12-3 12:00:00,2019-12-4 12:00:00,334
337,レッグウォーマー,2019-12-3 12:00:00,2019-12-4 12:00:00,334
338,その他,2019-12-3 12:00:00,2019-12-4 12:00:00,334
339,アンダーウェア,2019-12-3 12:00:00,2019-12-4 12:00:00,199
340,トランクス,2019-12-3 12:00:00,2019-12-4 12:00:00,339
341,ボクサーパンツ,2019-12-3 12:00:00,2019-12-4 12:00:00,339
342,その他,2019-12-3 12:00:00,2019-12-4 12:00:00,339
343,その他,2019-12-3 12:00:00,2019-12-4 12:00:00,199
344,ベビー・キッズ,2019-12-3 12:00:00,2019-12-4 12:00:00,
345,ベビー服(女の子用)~95cm,2019-12-3 12:00:00,2019-12-4 12:00:00,344
346,トップス,2019-12-3 12:00:00,2019-12-4 12:00:00,345
347,アウター,2019-12-3 12:00:00,2019-12-4 12:00:00,345
348,パンツ,2019-12-3 12:00:00,2019-12-4 12:00:00,345
349,スカート,2019-12-3 12:00:00,2019-12-4 12:00:00,345
350,ワンピース,2019-12-3 12:00:00,2019-12-4 12:00:00,345
351,ベビードレス,2019-12-3 12:00:00,2019-12-4 12:00:00,345
352,おくるみ,2019-12-3 12:00:00,2019-12-4 12:00:00,345
353,下着/肌着,2019-12-3 12:00:00,2019-12-4 12:00:00,345
354,パジャマ,2019-12-3 12:00:00,2019-12-4 12:00:00,345
355,ロンパース,2019-12-3 12:00:00,2019-12-4 12:00:00,345
356,その他,2019-12-3 12:00:00,2019-12-4 12:00:00,345
357,ベビー服(男の子用)~95cm,2019-12-3 12:00:00,2019-12-4 12:00:00,344
358,トップス,2019-12-3 12:00:00,2019-12-4 12:00:00,357
359,アウター,2019-12-3 12:00:00,2019-12-4 12:00:00,357
360,パンツ,2019-12-3 12:00:00,2019-12-4 12:00:00,357
361,おくるみ,2019-12-3 12:00:00,2019-12-4 12:00:00,357
362,下着/肌着,2019-12-3 12:00:00,2019-12-4 12:00:00,357
363,パジャマ,2019-12-3 12:00:00,2019-12-4 12:00:00,357
364,ロンパース,2019-12-3 12:00:00,2019-12-4 12:00:00,357
365,その他,2019-12-3 12:00:00,2019-12-4 12:00:00,357
366,ベビー服(男女兼用)~95cm,2019-12-3 12:00:00,2019-12-4 12:00:00,344
367,トップス,2019-12-3 12:00:00,2019-12-4 12:00:00,366
368,アウター,2019-12-3 12:00:00,2019-12-4 12:00:00,366
369,パンツ,2019-12-3 12:00:00,2019-12-4 12:00:00,366
370,おくるみ,2019-12-3 12:00:00,2019-12-4 12:00:00,366
371,下着/肌着,2019-12-3 12:00:00,2019-12-4 12:00:00,366
